dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,adr,cluster_x,x,y,cluster_y,soc
0.025092652,-0.03940882,0.4579642,0.084324926,-0.068049975,-0.08653404,-0.12028844,0.026609736,-0.0037678846,-0.06630708,0.3539337,-0.0646466,-0.1259843,0.13314782,-0.31157815,-0.09385346,-0.10322607,-0.081214406,-0.38462156,0.05093813,0.20069899,-0.02198484,0.4068657,-0.073514305,-0.034996103,0.27621126,-0.38433045,-0.04835157,-0.42628703,-0.2515434,-0.188084,-0.058343213,-0.16356266,-0.16801251,0.24494241,-0.052615315,0.12923041,0.0732435,0.23545596,0.119781576,-0.032035816,0.15180945,-0.28161424,-0.31767112,-0.023751562,-0.14079581,0.10040804,0.115423106,-0.12282756,0.0106357895,0.016316846,0.18785338,-0.052292895,0.1239837,0.2809072,0.10051905,0.28792685,-0.18655285,-0.02165064,0.24454369,0.0044437307,-0.2026263,-0.04218068,0.054079548,depressed,2,1.9865049,91.58451,5,Unclassified
0.0016127725,0.026204884,0.38851613,0.17342228,-0.1844979,-0.19659264,-0.032721113,0.09953394,0.008035195,-0.11886473,0.2816726,-0.00911365,-0.03432074,0.081810296,-0.18052177,-0.030669961,-0.08401406,0.022538153,-0.24265061,0.061647825,0.19858502,0.08382577,0.34985197,-0.06002102,0.024199998,0.25406125,-0.27317145,0.005091043,-0.27415526,-0.18945535,-0.18823202,-0.073256314,-0.13567945,-0.18633051,0.103027955,-0.024497965,0.1511315,0.07766023,0.22357719,0.037268963,0.0044303285,0.16627565,-0.14607169,-0.25942817,-0.012628548,-0.07752409,-0.050679244,0.083432265,-0.037080575,-0.09450323,0.053559743,0.08487013,-0.06966476,0.23065822,0.26542482,0.061866473,0.17893012,-0.17333204,-0.09937103,0.11462102,-0.019689167,-0.15745623,-0.07400296,-0.04208243,panic attacks,4,73.78558,-66.30922,4,Unclassified
-0.0008896039,0.0068428507,0.42709795,0.17803045,-0.17966482,-0.21376474,-0.06120673,0.08724055,0.030735422,-0.14922713,0.31037855,-0.039181296,-0.08695167,0.06434893,-0.19594045,-0.014765661,-0.059283838,-0.011605677,-0.21159802,0.110826045,0.26108935,0.05927229,0.36467004,-0.05453645,0.020227555,0.24221519,-0.27923304,-0.0012824516,-0.26476976,-0.19546127,-0.2062147,-0.08481669,-0.14718181,-0.14379664,0.15401298,-0.018074432,0.14212331,0.09219244,0.29059383,0.011644905,-0.02405243,0.20045978,-0.10580421,-0.3103616,0.0014055122,-0.111288376,-0.0139906425,0.107911944,-0.07407113,-0.11081374,0.047401797,0.03209342,-0.042889263,0.25003242,0.3233982,0.03263321,0.17055415,-0.17930767,-0.0909237,0.055945322,-0.025895612,-0.19915359,-0.012279505,-0.098827496,tolerance,5,-39.375202,135.01796,2,Unclassified
0.00030532115,0.08743242,0.3696781,0.21770112,-0.15951532,-0.17115684,0.031228837,0.053580076,-0.030380914,-0.13759501,0.26739734,0.032007445,-0.019478198,0.082460746,-0.14720486,0.006934262,-0.13383797,0.0077954386,-0.17706604,0.10090072,0.18779628,0.026621046,0.40292588,-0.12521738,0.07550211,0.24328363,-0.23087065,-0.02381995,-0.274979,-0.19608192,-0.08401404,-0.06446656,-0.20094931,-0.21345976,0.11203432,0.026714126,0.05559112,0.1378467,0.18416409,0.03805885,0.08753615,0.2089533,-0.16418579,-0.29581848,-0.06444885,-0.12813175,-0.05852358,0.032509375,-0.06931555,-0.08191943,0.10459918,0.089365594,-0.011718086,0.24014662,0.28423697,0.031697195,0.14480759,-0.1591159,-0.09407691,0.06331284,-0.0023096695,-0.20430177,-0.05996688,-0.02863618,addiction,3,40.263397,-9.358316,1,Unclassified
0.0088815475,0.02043036,0.37706155,0.15384263,-0.16966605,-0.19032305,-0.043078437,0.09890986,-0.01809535,-0.12648372,0.26633754,-0.0019028672,-0.053350464,0.06423728,-0.15564625,-0.02448881,-0.07612839,0.0106366845,-0.22259939,0.08946908,0.19957128,0.043344922,0.3480396,-0.070837304,0.04409264,0.23526062,-0.2484061,-0.0049186307,-0.23524748,-0.18140459,-0.1824235,-0.057724737,-0.13595076,-0.19570318,0.1298578,-0.013906622,0.124848604,0.0920284,0.20641541,0.029797902,0.0013797552,0.1802459,-0.13374865,-0.24193586,0.0015717362,-0.07724247,-0.039410517,0.061132204,-0.04336816,-0.06474569,0.057911146,0.07379216,-0.047882095,0.22524765,0.25850984,0.053413816,0.13544302,-0.15034741,-0.06697441,0.0875496,-0.027251545,-0.16136004,-0.046624735,-0.047438834,numb,1,22.206463,-110.442085,2,Unclassified
-0.0042110104,0.014632932,0.4398917,0.16969022,-0.18482503,-0.22573581,-0.070663385,0.05243877,0.0020127962,-0.15966064,0.3133966,-0.015996387,-0.08695349,0.04089957,-0.17424187,-0.03857615,-0.064054586,-0.012729178,-0.1904984,0.09968486,0.24664618,0.055262264,0.3532101,-0.020581981,0.036300104,0.23035023,-0.28708756,0.0045386516,-0.24627757,-0.17431724,-0.22632243,-0.07400011,-0.13146469,-0.1513224,0.1734431,-0.044103518,0.10536463,0.09140065,0.3036615,0.022355936,-0.0031905107,0.19091667,-0.10135487,-0.3237009,-0.018844329,-0.13055897,-0.03329594,0.09949247,-0.0611517,-0.11709328,0.08310807,0.026765933,-0.032147434,0.2279088,0.31620866,0.048656918,0.15705164,-0.19872478,-0.073742606,0.06244779,-0.033445004,-0.19864188,-0.016337734,-0.09282371,panic attack,5,-116.69782,53.337193,2,Unclassified
-0.0063067833,-0.03917321,0.45053622,0.080200754,-0.04771126,-0.100813724,-0.1200023,0.033591557,0.0066244,-0.048486885,0.3867024,-0.03783254,-0.1136275,0.12000057,-0.3181458,-0.091553204,-0.106429674,-0.066794544,-0.38099068,0.08380765,0.18095963,-0.033423208,0.3901571,-0.068308525,-0.04963442,0.2782821,-0.39106157,-0.041642718,-0.43567798,-0.2462562,-0.17652005,-0.082167394,-0.18437292,-0.18727599,0.25830662,-0.02610434,0.09774382,0.045001157,0.26361197,0.115745604,-0.061103355,0.17677882,-0.30206084,-0.34902596,-0.0034905912,-0.1520926,0.09916211,0.13024089,-0.111766644,0.037752826,0.034543805,0.21332148,-0.036817987,0.10293872,0.28190354,0.11177081,0.283633,-0.17359735,0.007812088,0.26917368,-0.021765038,-0.19379309,-0.076513365,0.06299219,irritable,2,-92.286026,107.33855,5,Unclassified
0.014274424,0.011412725,0.38910785,0.16282319,-0.15768977,-0.17070816,-0.049317446,0.081631795,0.0013621219,-0.12355471,0.28657684,-0.026105404,-0.036555003,0.085720606,-0.16759072,-0.017460354,-0.075404674,-0.005157454,-0.22854587,0.08623183,0.18925889,0.050390985,0.3496985,-0.053125795,0.032430694,0.23071982,-0.24482623,-0.012271395,-0.26787224,-0.18954831,-0.1806483,-0.09066263,-0.14210892,-0.19770367,0.1323291,-0.037345,0.10130983,0.060576692,0.21989356,0.0375666,-0.0021194133,0.17334455,-0.1463722,-0.26831555,-0.00872466,-0.092085645,-0.023849878,0.07404089,-0.04687604,-0.06719496,0.051984817,0.060466796,-0.06728715,0.20753826,0.26357403,0.05669976,0.14452942,-0.1730322,-0.055595964,0.108012564,-0.024374856,-0.15296035,-0.05187408,-0.05289845,dizziness,1,26.359472,150.37523,6,Unclassified
0.015270894,-0.0016868354,0.36641324,0.16272713,-0.16295005,-0.19222298,-0.05114686,0.076179974,-0.023250438,-0.12905802,0.29188347,-0.017971741,-0.055481303,0.07471675,-0.14710727,-0.021305135,-0.102049075,0.025374593,-0.22179967,0.0868735,0.19592072,0.08065851,0.33959883,-0.023926603,0.023713881,0.26856333,-0.24963778,-0.0006963418,-0.2590199,-0.15634768,-0.19664371,-0.097935684,-0.12574224,-0.19298624,0.1081717,-0.035233714,0.13777754,0.06773418,0.2503555,0.017283319,-0.031797588,0.18261771,-0.13263963,-0.2610096,-0.0119493725,-0.103841245,-0.046820782,0.055537798,-0.027282467,-0.087936476,0.09233184,0.03812081,-0.059669305,0.23788317,0.25365284,0.05882969,0.1532429,-0.19696459,-0.09247871,0.10948943,-0.032524925,-0.16913381,-0.076290995,-0.06084561,delusions,4,59.757244,43.74313,4,Unclassified
0.0019644108,0.00559786,0.37247577,0.15119195,-0.1365841,-0.16684416,-0.030176664,0.07620786,-0.03251179,-0.10056692,0.2592866,0.013085422,-0.04973861,0.09362006,-0.18029198,-0.023716755,-0.09255434,0.004067757,-0.21578471,0.05942977,0.16716762,0.024945337,0.34607896,-0.06414791,0.037655592,0.24876037,-0.2524848,-0.012261641,-0.28336272,-0.20146753,-0.12554799,-0.095819265,-0.16025846,-0.18079413,0.15019363,-0.019966647,0.090291224,0.0637384,0.22615896,0.023732359,0.0044622477,0.17423122,-0.14239426,-0.2495609,-0.034173474,-0.117222995,0.0010177016,0.05363916,-0.057072636,-0.04938228,0.09118803,0.08169232,-0.061188396,0.20029844,0.2701204,0.053291798,0.14741984,-0.18361245,-0.05689382,0.111879036,-0.0021086102,-0.19351667,-0.08429657,-0.026024785,exhausted,2,-139.52614,-5.945175,3,Unclassified
